time_s,position_cm,theta_raw_cm
0.69,12.8625,2.525
0.691,12.8625,2.525
0.692,12.8625,2.525
0.693,12.8625,2.525
0.694,12.875,2.5375
0.695,12.875,2.5375
0.696,12.8875,2.55
0.697,12.8875,2.5625
0.698,12.9,2.5375
0.699,12.9,2.5375
0.7,12.9125,2.5375
0.701,12.925,2.5375
0.702,12.9375,2.55
0.703,12.95,2.55
0.704,12.9625,2.55
0.705,12.975,2.5625
0.706,13.0,2.5625
0.707,13.0125,2.55
0.708,13.025,2.55
0.709,13.05,2.55
0.71,13.075,2.55
0.711,13.0875,2.55
0.712,13.1125,2.55
0.713,13.1375,2.5625
0.714,13.1625,2.575
0.715,13.1875,2.55
0.716,13.2125,2.55
0.717,13.2375,2.55
0.718,13.2625,2.55
0.719,13.3,2.55
0.72,13.325,2.55
0.721,13.3625,2.5625
0.722,13.3875,2.575
0.723,13.425,2.55
0.724,13.4625,2.55
0.725,13.5,2.55
0.726,13.5375,2.55
0.727,13.5625,2.5375
0.728,13.6,2.5375
0.729,13.65,2.55
0.73,13.6875,2.5625
0.731,13.725,2.5375
0.732,13.775,2.5375
0.733,13.8125,2.5375
0.734,13.8625,2.5375
0.735,13.9,2.5375
0.736,13.95,2.525
0.737,14.0,2.5375
0.738,14.05,2.5375
0.739,14.1,2.5375
0.74,14.15,2.5375
0.741,14.2,2.525
0.742,14.25,2.525
0.743,14.3,2.5125
0.744,14.3625,2.525
0.745,14.4125,2.5125
0.746,14.475,2.525
0.747,14.525,2.5125
0.748,14.5875,2.5
0.749,14.6375,2.5
0.75,14.7,2.4875
0.751,14.7625,2.4875
0.752,14.825,2.4875
0.753,14.8875,2.4875
0.754,14.95,2.475
0.755,15.0125,2.475
0.756,15.0875,2.4875
0.757,15.15,2.475
0.758,15.2125,2.4625
0.759,15.2875,2.475
0.76,15.35,2.45
0.761,15.425,2.45
0.762,15.4875,2.4375
0.763,15.5625,2.45
0.764,15.6375,2.45
0.765,15.7,2.425
0.766,15.775,2.425
0.767,15.85,2.4125
0.768,15.925,2.4125
0.769,16.0125,2.4125
0.77,16.0875,2.4125
0.771,16.1625,2.4
0.772,16.2375,2.4
0.773,16.325,2.3875
0.774,16.4,2.3875
0.775,16.4875,2.3875
0.776,16.5625,2.375
0.777,16.65,2.375
0.778,16.725,2.35
0.779,16.8125,2.3625
0.78,16.8875,2.35
0.781,16.975,2.3375
0.782,17.0625,2.3375
0.783,17.15,2.325
0.784,17.2375,2.325
0.785,17.325,2.3125
0.786,17.4125,2.3125
0.787,17.4875,2.2875
0.788,17.5875,2.3
0.789,17.675,2.3
0.79,17.75,2.2625
0.791,17.85,2.2625
0.792,17.9375,2.2625
0.793,18.025,2.25
0.794,18.1125,2.2375
0.795,18.2125,2.2375
0.796,18.3,2.2375
0.797,18.3875,2.2375
0.798,18.475,2.2125
0.799,18.5625,2.1875
0.8,18.6625,2.1875
0.801,18.75,2.175
0.802,18.8375,2.15
0.803,18.9375,2.15
0.804,19.025,2.15
0.805,19.1125,2.15
0.806,19.2125,2.1375
0.807,19.3,2.1
0.808,19.4,2.0875
0.809,19.4875,2.075
0.81,19.5875,2.075
0.811,19.675,2.0625
0.812,19.775,2.0625
0.813,19.875,2.0625
0.814,19.9625,2.05
0.815,20.0625,2.025
0.816,20.15,2.0125
0.817,20.25,2.0
0.818,20.3375,1.9875
0.819,20.4375,1.975
0.82,20.5375,1.975
0.821,20.625,1.9625
0.822,20.725,1.975
0.823,20.825,1.95
0.824,20.9125,1.925
0.825,21.0125,1.925
0.826,21.1125,1.925
0.827,21.2,1.9
0.828,21.3,1.9
0.829,21.3875,1.8875
0.83,21.4875,1.8875
0.831,21.5875,1.875
0.832,21.6875,1.8625
0.833,21.775,1.85
0.834,21.875,1.8375
0.835,21.9625,1.825
0.836,22.0625,1.825
0.837,22.15,1.8125
0.838,22.25,1.8125
0.839,22.35,1.8125
0.84,22.4375,1.8
0.841,22.525,1.7875
0.842,22.625,1.775
0.843,22.7125,1.7625
0.844,22.8,1.75
0.845,22.9,1.7625
0.846,22.9875,1.75
0.847,23.075,1.7375
0.848,23.175,1.7375
0.849,23.2625,1.725
0.85,23.35,1.7125
0.851,23.4375,1.7
0.852,23.525,1.7
0.853,23.6125,1.6875
0.854,23.7,1.6875
0.855,23.7875,1.675
0.856,23.875,1.675
0.857,23.9625,1.6625
0.858,24.05,1.6625
0.859,24.1375,1.65
0.86,24.225,1.65
0.861,24.3,1.6375
0.862,24.3875,1.6375
0.863,24.475,1.6375
0.864,24.55,1.625
0.865,24.6375,1.6125
0.866,24.7125,1.6
0.867,24.7875,1.6
0.868,24.875,1.6
0.869,24.95,1.5875
0.87,25.025,1.5875
0.871,25.1,1.5875
0.872,25.175,1.5875
0.873,25.2625,1.575
0.874,25.3375,1.575
0.875,25.4,1.55
0.876,25.475,1.55
